trajectory_run,has_run_batch_config,traj_files,pred_files,debug_logs,info_logs,trace_logs
lite83__gpt53-codex__local_cached__t1_pnone_c0,True,83,83,83,83,83
lite83__gpt53-codex__matplotlib23476_closed_window_retry1__t1_pnone_c0,True,0,0,1,1,1
lite83__gpt53-codex__nobudget_mt8_probev3_rerun1__t1_pnone_c0,True,83,83,83,83,83
lite83__gpt53-codex__probe_smoke_closed_window_tok25k__t1_pnone_c0,True,1,1,1,1,1
lite83__gpt53-codex__smoke83__t1_pnone_c0,True,0,0,1,1,1
lite83__gpt53-codex__tok100k__t1_pnone_c0,True,83,83,83,83,83
lite83__gpt53-codex__tok100k_mt8_probev3_rerun1__t1_pnone_c0,True,83,83,83,83,83
lite83__gpt53-codex__tok10k__t1_pnone_c0,True,0,0,8,8,8
lite83__gpt53-codex__tok10k_mt4__t1_pnone_c0,True,0,0,4,4,4
lite83__gpt53-codex__tok10k_mt4_probev2__t1_pnone_c0,True,83,83,83,83,83
lite83__gpt53-codex__tok15k_mt8_probev3__t1_pnone_c0,True,83,83,83,83,83
lite83__gpt53-codex__tok20k_mt8_probev3__t1_pnone_c0,True,83,83,83,83,83
lite83__gpt53-codex__tok25k_mt8_probev3_closed_window_rerun1__t1_pnone_c0,True,82,83,83,83,83
lite83__gpt53-codex__tok25k_mt8_probev3_rerun1__t1_pnone_c0,True,0,0,8,8,8
lite83__gpt53-codex__tok25k_mt8_probev3_rerun2__t1_pnone_c0,True,83,83,83,83,83
lite83__gpt53-codex__tok30k_mt4_probev3__t1_pnone_c0,True,83,83,83,83,83
lite83__gpt53-codex__tok50k_mt4_probev2__t1_pnone_c0,True,83,83,83,83,83
lite83__gpt54__tok100k_mt8_probev3_gpt54_rerun1__t1_pnone_c0,True,83,83,83,83,83
lite83__gpt54__tok200k_mt8_probev3_gpt54_rerun1__t1_pnone_c0,True,0,0,8,8,8
lite83__gpt54__tok200k_mt8_probev3_gpt54_rerun2__t1_pnone_c0,True,0,0,8,8,8
lite83__gpt54__tok200k_mt8_probev3_gpt54_rerun3__t1_pnone_c0,True,83,83,83,83,83
lite83__gpt54__tok25k_mt8_probev3_gpt54_rerun1__t1_pnone_c0,True,83,83,83,83,83
lite83__gpt54__tok5k_smoke_django10914_gpt54_rerun1__t1_pnone_c0,True,0,0,1,1,1
lite83__gpt54__tok5k_smoke_django10914_gpt54_rerun2__t1_pnone_c0,True,1,1,1,1,1
local__gpt53-codex__localprobe__t0_p1_c0,True,0,0,1,1,1
local__gpt53-codex__localprobe_nopy__t0_p1_c0,True,0,0,1,1,1
local__gpt53-codex__probe_smoke_tok1k__t1_pnone_c0,True,0,0,1,1,1
local__gpt53-codex__probe_smoke_tok1k_stream__t1_pnone_c0,True,0,0,1,1,1
local__gpt53-codex__probe_smoke_tok1k_stream_notemp__t1_pnone_c0,True,1,1,1,1,1
local__gpt53-codex__probe_smoke_tok1k_stream_notemp_v2__t1_pnone_c0,True,1,1,1,1,1
probe-setup__cmdprobe2_norun,True,0,0,0,0,0
swebench-lite-dev__gpt53-codex__base__t0_p1_c0,True,0,0,1,1,1
